CGH		Guizhou Airlines
CGI		Rusair JSAC
CGK		Click Airways
CGL	SJ	Seagle Air
CGM		Cargoman
CGN	2Z	Changan Airlines
CGO		Chicago Air
CGP	8L	Cargo Plus Aviation
CGR		Compagnia Generale Ripreseaeree
CGS		Centre of Applied Geodynamica
CGU		Chinguetti Airlines
CGV		Aero Clube Do Algarve
CGW		Air Great Wall
CGX		United States Coast Guard Auxiliary
CGY		Corporacion Paraguaya De Aeronautica
CHA		Central Flying Service
CHC		China Ocean Helicopter Corporation
CHD		223 Flight Unit State Airline
CHE		Top Flight Air Service
CHF	X7	Chitaavia
CHG		AC Challenge Aero
CHH	HU	Hainan Airlines
CHI		Cougar Helicopters
CHJ		Aircompany Chaika
CHL		Cohlmia Aviation
CHM		Chemech Aviation
CHN		Channel Island Aviation
CHO		Chrome Air Services
CHP	6A	Consorcio Aviaxsa
CHR		Air Charter Services
CHS		Challenge Aviation
CHU		Church Aircraft
CHV		Air Charter Professionals
CHW		Charter Air
CHZ		Cherline
CIA		Civil Aviation Authority
CIB		Condor
CIC		ICC Canada
CID		Asia Continental Airlines
CIE		Czech Government Flying Service
CIG		Sirius-Aero
CII		Cityfly
CIK		Country International Airlines
CIL		Cecil Aviation
CIM	QI	Cimber Air
CIO		Il Ciocco International Travel Service
CIR	5F	Arctic Circle Air Service
CIU	A2	Cielos Airlines
CIV		Civil Aviation Authority of New Zealand
CIW		Civair Airways
CJA	C6	CanJet
CJC	9L	Colgan Air
CJE		Aeroservices Corporate
CJG		Zhejiang Airlines
CJI		Corporate Jets
CJR		Caverton Helicopters
CJS		Commonwealth Jet Service
CJT	W8	Cargojet Airways
CKA		Cook Inlet Aviation
CKC		CKC Services
CKE		Corporate Aviation Services
CKK	CK	China Cargo Airlines
CKL		Aviation Charter Services
CKM		BKS Air (Rivaflecha)
CKR		Crown Air Systems
